year,month,day,time,temp
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,36
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:00,37
18-10-201,18-10-201,18-10-201,1:00,37
18-10-201,18-10-201,18-10-201,1:00,38
18-10-201,18-10-201,18-10-201,1:00,36
18-10-201,18-10-201,18-10-201,1:00,37
18-10-201,18-10-201,18-10-201,1:00,37
18-10-201,18-10-201,18-10-201,1:00,37
18-10-201,18-10-201,18-10-201,1:00,37
18-10-201,18-10-201,18-10-201,1:00,36
